Marca temporal,"El siguiente cuestionario hace parte de una tesis de maestría cuyo objetivo es indagar sobre las dinámicas de violencias basadas en género (VBG) en la Universidad de Antioquia. Su participación es completamente voluntaria y confidencial; puede retirarse en cualquier momento si así lo desea. Los datos serán anónimos y utilizados únicamente con fines académicos. Al continuar con esta encuesta, usted acepta participar de manera voluntaria y comprendiendo que puede omitir cualquier pregunta que le cause incomodidad. Si tiene preguntas, puede contactarme al correo Natalia.loperao@udea.edu.co. 
¿Desea continuar con el cuestionario? ",Pregrado,Semestre,Edad,Género,¿Ha sido víctima de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones.  ,¿Ha tenido conocimiento de la ocurrencia de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones,El último hecho del que tuvo conocimiento o ha sido víctima ocurrió,"De los siguientes hechos, seleccione los que considera que tiene mayor ocurrencia en la facultad. (Elija solo dos opciones)","Desde su perspectiva, ¿de cuáles actores suelen provenir en mayor medida los hechos de violencia de género? Seleccione máximo dos opciones. ","Desde su perspectiva, ¿en qué espacios suelen ocurrir con mayor frecuencia los hechos de violencia de género? Seleccione 3 opciones máximo",¿Qué iniciativas institucionales para la sensibilización de la violencia de género cconoce ? (Puede elegir multiples opciones),De las siguientes iniciativas ¿a cuántas ha asistido? (Puede elegir multiples opciones),"¿conoce la Ruta Violeta? (Marque una opción del 1 al 5, siendo 1 que no conoce nada y 5 que conoce mucho)","Si fueras víctima de violencia de género, ¿a qué dependencia recurriría para hacer la denuncia? (Puede elegir varias opciones). ","De los siguientes mecanismos de denuncia no institucional, ¿en cuáles ha participado? (Puede elegir varias opciones)","En caso de que usted fuera víctima de violencia de género ¿considera que puede recurrir a la Universidad en busca de ayuda, aunque el hecho se haya producido por fuera de ella?",¿Considera la Universidad un entorno seguro? ,  ¿Cómo calificaría los mecanismos institucionales para la atención de casos de violencia de género?  , ¿Cómo calificaría las posturas y estrategias del personal administrativo frente a las violencias basadas en género?  , ¿Cómo calificaría las posturas y estrategias de los docentes frente a las violencias basadas en género?  ,En términos generales ¿Cómo describiría al personal administrativo de la facultad?  ,En términos generales ¿Cómo describiría a los docentes de la facultad?  ,"¿Considera que el trato recibido por parte de los administrativos de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","¿Considera que el trato recibido por parte de los docentes de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","De los siguientes aspectos, seleccione los que considera más prioritarios para mejora la atención de los casos de violencia de género. Seleccione máximo 3 opciones  ","  Si considera que hay otro aspecto administrativo que la universidad deba mejorar para que la atención de los casos de violencia de género sea efectiva, porfavor mencionelos aquí.   "
12/9/2024 21:11:17,Sí,Psicología,7,24,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Administrativos","Alrededores de la Universidad, Prácticas y/o salidas de campo, Baños","Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización","Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",4,"Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Protestas,Sí,Sí,Parcialmente efectivos,Conservadoras,Conservadoras,Inoperante,"Colaborativo, proactivo",No,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 23:05:57,Sí,Sociologia,Primer semestre,20,No binarie,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",Hace más de un año,Comentarios sexistas en espacios de interacción social o esparcimiento,Docentes,"Aulas, Prácticas y/o salidas de campo","Cursos y seminarios, Campañas de sensibilización",Campañas de sensibilización,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Escrache,No,No,No efectivos,Flexibles,Flexibles,Inoperante,"Colaborativo, proactivo",No,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas","porfis respeten los protocolos y saquen a los profesores con denuncia de abusos, gracias"
13/9/2024 0:06:24,Sí,Trabajo social,4,18,Femenino,"Acoso Sexual (Acoso físico, verbal, visual)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,4,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,No,Sí,No efectivos,Conservadoras,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
13/9/2024 0:47:04,Sí,Sociología ,1,17,Femenino,Nignuno,Nignuno,No aplica,"Acoso Sexual (acoso físico, verbal, visual), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Estudiantes, Compañero sexual o afectivo que también es estudiante","Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,2,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Protestas,,,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,Innovador,No sabe/No responde,Sí,,
13/9/2024 2:39:46,Sí,Psicología ,3,19,Femenino,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual",Protestas,No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
13/9/2024 9:08:27,Sí,Sociología,Primero ,21,Femenino,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), abuso sexual","Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes",Aulas,Ninguna,Ninguna,5,Bienestar Universitario,"Protestas, Escrache, Divulgación en medios independientes como revistas",No,No,No efectivos,Flexibles,Conservadoras,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
13/9/2024 9:50:50,Sí,Psicología ,4,20,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Docentes","Aulas, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)",Campañas de sensibilización,Ninguna,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Ninguno,No,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Mayor difusión de los protocolos y rutas de atención",
13/9/2024 19:27:17,Sí,Antropología,3,29,Prefiero no decirlo,Comentarios sexistas en espacios de interacción social o esparcimiento,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",Estudiantes,"Alrededores de la Universidad, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,1,Bienestar Universitario,Escrache,No,No,No sabe/No responde,No sabe/No responde,Conservadoras,No sabe/No responde,"Colaborativo, proactivo",No,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención","Que existan sanciones reales para los perpetradores, de lo contrario las violencias basadas en género seguirán siendo normales porque no serán entendidas como un delito."
13/9/2024 19:43:03,Sí,Trabajo Social,5,24,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual)",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Docentes","Alrededores de la Universidad, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD)",Ninguno,Sí,No,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes",
13/9/2024 23:29:47,Sí,Antropología ,1,20,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Estudiantes, Compañero sexual o afectivo que también es estudiante, Actores externos al rededor de la universidad","Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,2,Bienestar Universitario,Protestas,Sí,No,No efectivos,No sabe/No responde,Conservadoras,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
14/9/2024 8:30:19,Sí,Trabajo Social ,8,31,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En el último año,Comentarios sexistas en espacios de interacción social o esparcimiento,"Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",2,"Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email","Protestas, Escrache",Sí,Sí,No efectivos,Conservadoras,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
14/9/2024 8:38:32,Sí,Historia ,7,24,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",Hace más de un año,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Docentes, Compañero sexual o afectivo que también es estudiante","Prácticas y/o salidas de campo, Oficinas","Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas",Ninguna,2,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Protestas,No,Sí,Parcialmente efectivos,Conservadoras,Flexibles,Inoperante,"Colaborativo, proactivo",No sabe/No responde,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
14/9/2024 10:30:45,Sí,Trabajo social ,1,19,Masculino,Nignuno,Nignuno,No aplica,Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad,Estudiantes,"Aulas, Espacios de interacción social (plazoleta, jardineras, etc)","Cursos y seminarios, Campañas de sensibilización",Ninguna,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Protestas,Sí,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,Innovador,No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes",Todo bien ^^
14/9/2024 12:17:39,Sí,Psicología,tercero,18 años,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual)",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Docentes",Aulas,Cursos y seminarios,Ninguna,2,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Jefaturas, Decanatura",Ninguno,No,Sí,No efectivos,No sabe/No responde,Flexibles,Autoritario,,No sabe/No responde,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
14/9/2024 16:54:41,Sí,Historia ,cuarto ,18,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",Docentes,Alrededores de la Universidad,"No género violencia, Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Ninguna,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Protestas,No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Autoritario,No,No,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
14/9/2024 18:03:31,Sí,Psicología,6,19,Masculino,Nignuno,Nignuno,No aplica,Comentarios sexistas en espacios de interacción social o esparcimiento,,Pasillos,Cursos y seminarios,Ninguna,3,Bienestar Universitario,Escrache,No,No,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,Inoperante,No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
17/9/2024 10:10:05,Sí,Trabajo Social,7,20,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Docentes, Administrativos","Oficinas, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Campañas de sensibilización","No género violencia, Conversatorios e iniciativas culturales y artísticas",2,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Protestas,No,No,No efectivos,Conservadoras,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas","dar garantias o soluciones pertinentes, no que la respuesta sea que la victima se esconda o deje de participar en espacios sin incomodar para nada al agresor5"
17/9/2024 16:22:25,Sí,Trabajo Social,"5, 6 y 7",26,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Aulas, Pasillos, Baños","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,4,Decanatura,Protestas,No,No,No efectivos,Conservadoras,Flexibles,Inoperante,"Colaborativo, proactivo",No,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
19/9/2024 9:44:23,Sí,SOCIOLOGIA,2,40,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual)",Compañero sexual o afectivo que también es estudiante,Pasillos,Cursos y seminarios,Cursos y seminarios,3,Bienestar Universitario,Escrache,No,Sí,No efectivos,Conservadoras,Innovadoras,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Personal más empático y capacitado para atender a las víctimas",
24/9/2024 7:54:27,Sí,Sociología ,Egresado,30,Masculino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Alrededores de la Universidad, Prácticas y/o salidas de campo, Baños","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,Sí,Sí,Parcialmente efectivos,Flexibles,Flexibles,"Colaborativo, proactivo",Innovador,Sí,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes",
24/9/2024 22:13:05,Sí,Psicología ,Cuarto,21,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Baños, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios",Campañas de sensibilización,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual",Ninguno,Sí,No,Parcialmente efectivos,Flexibles,Innovadoras,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
25/9/2024 13:53:36,Sí,Psicología ,4,18,Femenino,Nignuno,Nignuno,No aplica,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Alrededores de la Universidad, Pasillos, Baños, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Campañas de sensibilización",Ninguna,3,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,Sí,No,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",Sí,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
25/9/2024 14:09:45,Sí,Psicología ,Cuarto,19,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 6 meses,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Estudiantes, Compañero sexual o afectivo que también es estudiante","Aulas, Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,3,Bienestar Universitario,Ninguno,Sí,No,Parcialmente efectivos,Flexibles,Conservadoras,"Colaborativo, proactivo",Inoperante,Sí,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 10:03:50,Sí,Sociología ,4,20,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento",En el último año,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Aulas, Alrededores de la Universidad","Cursos y seminarios, Campañas de sensibilización",Ninguna,2,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Jefaturas, Decanatura",Ninguno,Sí,No,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",Sí,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 10:04:02,Sí,Sociología ,6,21,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Aulas, Espacios de interacción social (plazoleta, jardineras, etc)","Cursos y seminarios, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual, Decanatura",Ninguno,No,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 10:06:50,No,Licenciatura en Literatura  y Lengua Castellana,4,19,Masculino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",No aplica,"Violación sexual, Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Docentes","Aulas, Alrededores de la Universidad, Prácticas y/o salidas de campo",Ninguna,Ninguna,2,Bienestar Universitario,Ninguno,No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
27/9/2024 10:10:25,Sí,Licenciatura en literatura y lengua castellana ,cuarto,19,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes, Compañero sexual o afectivo que también es estudiante","Alrededores de la Universidad, Prácticas y/o salidas de campo, Pasillos, Baños, Oficinas, Espacios de interacción social (plazoleta, jardineras, etc)",Cátedra del cuidado de sí (Nataly Palacios),Ninguna,3,"Bienestar Universitario, Jefaturas, Decanatura","Protestas, Divulgación en medios independientes como revistas",No,Sí,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
